Date,Frequency
12/6/2020,0.5
12/7/2016,1.0
12/7/2017,
12/7/2018,0.25
12/7/2020,
12/8/2016,
12/8/2017,
12/8/2018,0.3333333333333333
12/8/2019,0.5
12/8/2020,
12/9/2016,1.0
12/9/2019,1.0
12/9/2020,0.5
2/1/2016,
2/1/2017,0.2222222222222222
2/1/2018,0.3333333333333333
2/1/2019,
2/1/2020,0.75
2/10/2018,1.0
2/10/2019,
2/11/2018,
2/11/2019,
2/11/2020,0.3333333333333333
2/12/2016,
2/12/2018,1.0
2/12/2019,
2/12/2020,0.2857142857142857
2/13/2016,
2/13/2017,
2/13/2019,
2/13/2020,0.5
2/14/2018,
2/14/2019,
2/14/2020,0.4
2/15/2017,0.2222222222222222
2/15/2019,1.0
2/15/2020,1.0
2/16/2017,0.5
2/16/2018,0.5
2/16/2019,
2/16/2020,
2/17/2017,0.6
2/17/2019,
2/18/2016,
2/18/2017,0.5
2/18/2019,1.0
2/18/2020,
2/19/2016,
2/19/2017,1.0
2/19/2018,
2/19/2019,0.3333333333333333
2/19/2020,1.0
2/2/2016,
2/2/2017,0.18181818181818182
2/2/2018,0.4166666666666667
2/2/2019,
2/2/2020,
2/20/2017,1.0
2/20/2018,
2/20/2019,
2/20/2020,1.0
2/21/2017,0.6666666666666666
2/21/2018,0.2222222222222222
2/21/2019,
2/21/2020,0.3333333333333333
2/22/2016,
2/22/2018,
2/22/2019,0.4
2/23/2016,1.0
2/23/2018,
2/23/2020,
2/24/2016,0.5
2/24/2017,0.75
2/24/2019,
2/25/2017,0.3333333333333333
2/25/2019,
2/25/2020,
2/26/2016,0.2
2/26/2019,0.6
2/27/2016,
2/27/2017,
2/27/2018,0.5
2/27/2019,0.375
2/27/2020,0.5
2/28/2016,
2/28/2017,
2/28/2018,1.0
2/28/2019,0.4166666666666667
2/28/2020,0.4
2/29/2016,
2/29/2020,
2/3/2017,0.13333333333333333
2/3/2018,0.42857142857142855
2/3/2019,1.0
2/3/2020,
2/4/2016,
2/4/2017,0.3333333333333333
2/4/2018,
2/4/2019,0.3333333333333333
2/4/2020,0.3333333333333333
2/5/2017,1.0
2/5/2018,0.25
2/5/2019,
2/5/2020,0.5
2/6/2016,
2/6/2017,0.02
2/6/2018,0.5
2/6/2019,0.6666666666666666
2/6/2020,
2/7/2016,
2/7/2017,0.1222707423580786
2/7/2018,0.3333333333333333
2/7/2019,0.6666666666666666
2/7/2020,0.4
2/8/2016,
2/8/2018,
2/8/2019,
2/8/2020,
2/9/2016,
2/9/2017,
2/9/2018,0.3333333333333333
2/9/2019,
2/9/2020,0.5
3/1/2017,
3/1/2018,
3/1/2019,0.2
3/10/2017,0.6666666666666666
3/10/2020,
3/11/2017,
3/11/2018,1.0
3/11/2019,0.5
3/11/2020,
3/12/2018,
3/12/2019,
3/13/2017,0.5
3/13/2019,
3/13/2020,
3/14/2016,
3/14/2017,0.75
3/14/2018,
3/14/2019,
3/15/2016,0.5
3/15/2017,0.75
3/15/2018,0.6666666666666666
3/15/2019,0.5
3/16/2017,0.6
3/16/2018,1.0
3/16/2019,1.0
3/17/2017,0.6
3/17/2019,
3/17/2020,
3/18/2017,
3/18/2018,1.0
