date,headline,polarity,subjectivity
5/12/2016,This professor has predicted every presidential election since 1984. He‚s still trying to figure out 2016.,0.0,0.0
5/12/2016,"Where to eat, drink and play on the water in the Washington region",0.0,0.0
5/12/2016,Will Donald Trump repeat the TV mistakes of past candidates in his Megyn Kelly interview?,-0.25,0.25
5/12/2016,"Mark Lane, Early Kennedy Assassination Conspiracy Theorist, Dies at 89",0.1,0.3
5/13/2016,5 new books not to be missed,0.13636363636363635,0.45454545454545453
5/14/2016,Donald Trump‚s Evasions on Taxes,0.0,0.0
5/16/2016,"50 years ago, Bob Dylan made history, and The Washington Post missed it.",0.0,0.0
5/17/2016,How Donald Trump‚s sister might help decide how much more we learn about Bridgegate,0.5,0.5
5/18/2016,Readers React: The Coastal Commission‚s foul-mouthed member,0.0,0.0
5/19/2016,"Roots,‚ the Series That Had Everyone Talking",0.0,0.0
5/22/2016,Margaret Sullivan advocates high-stakes game of journalism in her debut column for The Washington Post,-0.4,0.4
5/23/2016,"Roundup: Ace Gallery‚s bankruptcy problems, Mark Ryden‚s controversial ham canvas, Brazil artists protest",0.55,0.95
5/25/2016,Democratic Senator wants a law forcing presidential candidates to release tax returns,0.2,0.1
5/25/2016,How did the dramatic election of 1968 change U.S. politics? This new book explains.,-0.14848484848484847,0.5272727272727272
5/25/2016,Is Star Wars‚ really about behavioral psychology? Search your feelings.,0.2,0.2
5/25/2016,How Do You Solve a Problem Like Trump?,0.0,0.0
5/25/2016,Bill Is Proposed Requiring Presidential Candidates to Show Tax Returns,0.0,0.0
5/27/2016,Hillary Clinton can‚t shake the shadow of her email,0.0,0.0
5/27/2016,Hillary Clinton can‚t shake the shadow of her emails,0.0,0.0
5/30/2016,The Ghosts of Old Sex Scandals,0.1,0.2
6/4/2016,The Benghazi Committee‚s Dead End,-0.2,0.4
6/7/2016,Is the Election Rigged‚?,0.0,0.0
6/10/2016,Opinion | Mitch McConnell just made a devastating admission about Trump ‚Äî and the GOP,-1.0,1.0
6/10/2016,Donald Trump moves to block release of video testimony in university lawsuit,0.0,0.0
6/10/2016,Donald Trump moves to block the release of his video testimony in university lawsuit,0.0,0.0
6/10/2016,Oil,0.0,0.0
6/10/2016,This Is the American Dream‚: Readers on Hillary Clinton‚s Victory,0.0,0.0
6/12/2016,No need to break in‚: The Watergate Hotel reopens its doors after nine years,0.0,0.0
6/12/2016,Presidential museums‚ challenge: reinventing themselves for new audiences,0.13636363636363635,0.45454545454545453
6/13/2016,Allen Toussaint‚s American Tunes‚ album caps a distinguished career,0.0,0.0
6/14/2016,"No, White House lawyers would not prevent a President Trump from overstepping his constitutional bounds",0.0,0.0
6/15/2016,Jimmy Carter calls for return to publicly financed elections,0.0,0.06666666666666667
